VBat1,VBat2,VBat3,TEx1,TEx2,TIn1,TIn2,TIn3,5VLine,12VLine,
  57,  55,  70,4095,4095,1459,1439,1300,2117,1438,1017,
  57,  56,  69,4095,4095,1459,1439,1300,2118,1440,1016,
  56,  56,  71,4095,4095,1459,1438,1299,2117,1436,1017,
  56,  55,  67,4095,4095,1458,1437,1300,2120,1435,1018,
  57,  56,  71,4095,4095,1458,1439,1298,2116,1434,1017,
  57,  57,  70,4095,4095,1459,1438,1299,2117,1416,1017,
  57,  55,  69,4095,4095,1459,1438,1298,2117,1432,1016,
  57,  56,  69,4095,4095,1458,1438,1295,2117,1440,1017,
  56,  57,  69,4095,4095,1458,1437,1299,2116,1440,1015,
  56,  56,  69,4095,4095,1457,1437,1298,2116,1436,1018,
  57,  57,  69,4095,4095,1459,1438,1300,2115,1438,1018,
  57,  56,  68,4095,4095,1458,1438,1297,2116,1435,1016,
  57,  57,  69,4095,4095,1459,1437,1297,2118,1402,1016,
  57,  58,  69,4095,4095,1459,1437,1297,2115,1424,1015,
  57,  56,  69,4095,4095,1458,1438,1300,2116,1440,1017,
  57,  55,  69,4095,4095,1460,1437,1298,2116,1441,1016,
  56,  57,  67,4095,4095,1459,1439,1297,2119,1434,1017,
  57,  55,  69,4095,4095,1459,1438,1299,2115,1430,1014,
  57,  57,  69,4095,4095,1458,1439,1296,2118,1430,1018,
  56,  54,  70,4095,4095,1459,1438,1298,2116,1439,1017,
  57,  57,  69,4095,4095,1459,1437,1300,2119,1414,1016,
  56,  56,  69,4095,4095,1459,1439,1298,2118,1439,1017,
  55,  56,  68,4095,4095,1459,1439,1300,2115,1404,1017,
  57,  57,  69,4095,4095,1461,1439,1297,2114,1347,1017,
  57,  56,  70,4095,4095,1456,1439,1299,2118,1348,1017,
  58,  57,  70,4095,4095,1460,1439,1299,2111,1350,1016,
  56,  57,  69,4095,4095,1459,1439,1297,2114,1350,1015,
  57,  57,  70,4095,4095,1459,1437,1300,2116,1352,1017,
  56,  57,  70,4095,4095,1461,1437,1299,2116,1347,1015,
  57,  55,  69,4095,4095,1459,1439,1296,2115,1331,1016,
  56,  56,  70,4095,4095,1459,1437,1302,2117,1319,1015,
  55,  56,  68,4095,4095,1459,1438,1297,2115,1353,1014,
  57,  56,  69,4095,4095,1460,1439,1298,2117,1338,1018,
  57,  57,  69,4095,4095,1459,1439,1297,2115,1347,1017,
  56,  57,  69,4095,4095,1458,1438,1300,2119,1351,1017,
  58,  56,  67,4095,4095,1458,1439,1298,2117,1340,1017,
  57,  57,  70,4095,4095,1459,1438,1297,2117,1344,1016,
  56,  56,  69,4095,4095,1461,1438,1301,2114,1339,1015,
  56,  58,  69,4095,4095,1460,1437,1298,2117,1344,1016,
  56,  56,  69,4095,4095,1461,1439,1297,2117,1345,1015,
  58,  57,  69,4095,4095,1461,1437,1298,2116,1335,1015,
