VBat1,VBat2,VBat3,TEx1,TEx2,TIn1,TIn2,TIn3,5VLine,12VLine,
  57,  55,2742,4095,4095,1467,1450,1297,2115,1436,1025,
  56,  56,2735,4095,4095,1468,1449,1297,2115,1406,1025,
  51,  55,2740,4095,4095,1467,1448,1298,2117,1435,1025,
  58,  57,2739,4095,4095,1469,1447,1300,2117,1435,1023,
  48,  56,2725,4095,4095,1467,1449,1295,2117,1427,1025,
  64,  56,2718,4095,4095,1467,1450,1299,2116,1430,1024,
  54,  54,2735,4095,4095,1467,1450,1297,2115,1438,1024,
  48,  56,2741,4095,4095,1467,1450,1296,2116,1436,1024,
  59,  53,2741,4095,4095,1468,1449,1294,2117,1435,1025,
  45,  56,2733,4095,4095,1467,1449,1300,2120,1403,1025,
  75,  53,2739,4095,4095,1467,1450,1295,2118,1435,1024,
  61,  56,2742,4095,4095,1467,1450,1297,2117,1432,1025,
  57,  57,2723,4095,4095,1469,1447,1295,2118,1410,1023,
  51,  55,2710,4095,4095,1468,1450,1300,2115,1423,1024,
  55,  56,2744,4095,4095,1468,1450,1297,2117,1437,1025,
  56,  54,2740,4095,4095,1467,1449,1298,2117,1435,1023,
  57,  56,2706,4095,4095,1465,1449,1299,2117,1429,1025,
  55,  57,2727,4095,4095,1467,1449,1297,2118,1431,1025,
  57,  55,2736,4095,4095,1467,1450,1293,2117,1434,1023,
  55,  56,2741,4095,4095,1469,1449,1298,2117,1434,1025,
  55,  56,2741,4095,4095,1466,1450,1298,2115,1434,1024,
  56,  55,2735,4095,4095,1467,1450,1299,2118,1416,1025,
  57,  56,2742,4095,4095,1467,1449,1299,2115,1436,1025,
  58,  56,2743,4095,4095,1467,1448,1295,2118,1436,1024,
  57,  57,2706,4095,4095,1467,1449,1300,2120,1423,1025,
  55,  56,2722,4095,4095,1468,1448,1298,2119,1431,1024,
  57,  56,2743,4095,4095,1468,1449,1295,2116,1431,1024,
  56,  56,2744,4095,4095,1468,1447,1298,2117,1436,1024,
  55,  55,2741,4095,4095,1468,1447,1297,2116,1435,1024,
  55,  56,2735,4095,4095,1468,1448,1299,2116,1435,1024,
  55,  55,2739,4095,4095,1467,1449,1298,2115,1434,1024,
  56,  57,2742,4095,4095,1467,1449,1294,2117,1429,1025,
